system   D            wsystem.c:583  maybe_parent_dir                 [   0.00048] Also searching C:\Users\Michael\Documents\Visual Studio 2010\Projects\UntitledGame\
display  D   display_settings.c:486  _al_score_display_settings       [   0.02729] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.02731] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02733] Score is : 737
display  D   display_settings.c:357  _al_score_display_settings       [   0.02736] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02738] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02740] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02743] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02745] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02747] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02750] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02752] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02755] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02757] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02759] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02762] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02764] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02766] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02769] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02771] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02773] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02776] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02778] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02781] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02783] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.02785] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02788] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02790] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02792] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02795] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02797] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02799] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02802] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.02804] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.02806] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.02809] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.02812] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.02814] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.02816] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.02819] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.02821] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.02823] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.02826] Score is : 641
